	... reading file ...
	... done reading file ... 
output 0.264645 for 21714 nodes

	... starting backpropagation ...
n217 t: n, dr: 0.000000 vr: 3.810109
n218 t: v, dr: 0.000000 vr: 0.000000
n219 t: *, dr: 0.000000 vr: 3.810109
n220 t: n, dr: 0.000000 vr: 0.262460
n221 t: v, dr: 0.000000 vr: 1.000000
n222 t: *, dr: 0.000000 vr: 0.262460
n223 t: +, dr: 0.000000 vr: 0.262460
n224 t: n, dr: 0.000000 vr: 3.481844
n225 t: v, dr: 0.000000 vr: 0.000000
n226 t: *, dr: 0.000000 vr: 3.481844
n227 t: n, dr: 0.000000 vr: 0.287204
n228 t: v, dr: 0.000000 vr: 1.000000
n229 t: *, dr: 0.000000 vr: 0.287204
n230 t: +, dr: 0.000000 vr: 0.287204
n231 t: n, dr: 0.000000 vr: 3.734092
n232 t: v, dr: 0.000000 vr: 0.000000
n233 t: *, dr: 0.000000 vr: 3.734092
n234 t: n, dr: 0.000000 vr: 0.267803
n235 t: v, dr: 0.000000 vr: 1.000000
n236 t: *, dr: 0.000000 vr: 0.267803
n237 t: +, dr: 0.000000 vr: 0.267803
n238 t: n, dr: 0.000000 vr: 3.790711
n239 t: v, dr: 0.000000 vr: 0.000000
n240 t: *, dr: 0.000000 vr: 3.790711
n241 t: n, dr: 0.000000 vr: 0.263803
n242 t: v, dr: 0.000000 vr: 1.000000
n243 t: *, dr: 0.000000 vr: 0.263803
n244 t: +, dr: 0.000000 vr: 0.263803
n245 t: n, dr: 0.000000 vr: 2.689273
n246 t: v, dr: 0.000000 vr: 0.000000
n247 t: *, dr: 0.000000 vr: 2.689273
n248 t: n, dr: 0.000000 vr: 0.371848
n249 t: v, dr: 0.000000 vr: 1.000000
n250 t: *, dr: 0.000000 vr: 0.371848
n251 t: +, dr: 0.000000 vr: 0.371848
n252 t: n, dr: 0.000000 vr: 3.135777
n253 t: v, dr: 0.000000 vr: 0.000000
n254 t: *, dr: 0.000000 vr: 3.135777
n255 t: n, dr: 0.000000 vr: 0.318900
