	... reading file ...
	... done reading file ... 
output 0.000000 for 12468 nodes
log: -153.040738
	... starting backpropagation ...
n323 t: v, dr: log(-151.983607) vr: 0.000000, flag: 0
n324 t: *, dr: log(-152.512172) vr: 3.377268, flag: 1
n325 t: n, dr: log(-152.512172) vr: 0.296097, flag: 0
n326 t: v, dr: log(-153.040738) vr: 1.000000, flag: 0
n327 t: *, dr: log(-152.512172) vr: 0.296097, flag: 0
n328 t: +, dr: log(-152.512172) vr: 0.296097, flag: 0
n329 t: n, dr: log(-inf) vr: 1.546067, flag: 0
n330 t: v, dr: log(-152.662282) vr: 0.000000, flag: 0
n331 t: *, dr: log(-152.851510) vr: 1.546067, flag: 1
n332 t: n, dr: log(-152.851510) vr: 0.646803, flag: 0
n333 t: v, dr: log(-153.040738) vr: 1.000000, flag: 0
n334 t: *, dr: log(-152.851510) vr: 0.646803, flag: 0
n335 t: +, dr: log(-152.851510) vr: 0.646803, flag: 0
n336 t: n, dr: log(-inf) vr: 0.795596, flag: 0
n337 t: v, dr: log(-153.239353) vr: 0.000000, flag: 0
n338 t: *, dr: log(-153.140046) vr: 0.795596, flag: 1
n339 t: n, dr: log(-153.140046) vr: 1.256919, flag: 0
n340 t: v, dr: log(-153.040738) vr: 1.000000, flag: 0
n341 t: *, dr: log(-153.140046) vr: 1.256919, flag: 0
n342 t: +, dr: log(-153.140046) vr: 1.256919, flag: 0
n343 t: n, dr: log(-inf) vr: 3.340706, flag: 0
n344 t: v, dr: log(-151.993062) vr: 0.000000, flag: 0
n345 t: *, dr: log(-152.516900) vr: 3.340706, flag: 1
n346 t: n, dr: log(-152.516900) vr: 0.299338, flag: 0
n347 t: v, dr: log(-153.040738) vr: 1.000000, flag: 0
n348 t: *, dr: log(-152.516900) vr: 0.299338, flag: 0
n349 t: +, dr: log(-152.516900) vr: 0.299338, flag: 0
n350 t: n, dr: log(-inf) vr: 1.495778, flag: 0
n351 t: v, dr: log(-152.691004) vr: 0.000000, flag: 0
n352 t: *, dr: log(-152.865871) vr: 1.495778, flag: 1
n353 t: n, dr: log(-152.865871) vr: 0.668548, flag: 0
n354 t: v, dr: log(-153.040738) vr: 1.000000, flag: 0
n355 t: *, dr: log(-152.865871) vr: 0.668548, flag: 0
n356 t: +, dr: log(-152.865871) vr: 0.668548, flag: 0
n357 t: n, dr: log(-inf) vr: 0.790109, flag: 0
n358 t: v, dr: log(-153.245365) vr: 0.000000, flag: 0
n359 t: *, dr: log(-153.143052) vr: 0.790109, flag: 1
n360 t: n, dr: log(-153.143052) vr: 1.265649, flag: 0
n361 t: v, dr: log(-153.040738) vr: 1.000000, flag: 0
n362 t: *, dr: log(-153.143052) vr: 1.265649, flag: 0
n363 t: +, dr: log(-153.143052) vr: 1.265649, flag: 0
n364 t: n, dr: log(-inf) vr: 3.081629, flag: 0
n365 t: v, dr: log(-152.063178) vr: 0.000000, flag: 0
n366 t: *, dr: log(-152.551958) vr: 3.081629, flag: 1
n367 t: n, dr: log(-152.551958) vr: 0.324504, flag: 0
n368 t: v, dr: log(-153.040738) vr: 1.000000, flag: 0
n369 t: *, dr: log(-152.551958) vr: 0.324504, flag: 0
n370 t: +, dr: log(-152.551958) vr: 0.324504, flag: 0
n371 t: n, dr: log(-inf) vr: 1.555259, flag: 0
n372 t: v, dr: log(-152.657133) vr: 0.000000, flag: 0
n373 t: *, dr: log(-152.848936) vr: 1.555259, flag: 1
n374 t: n, dr: log(-152.848936) vr: 0.642980, flag: 0
n375 t: v, dr: log(-153.040738) vr: 1.000000, flag: 0
n376 t: *, dr: log(-152.848936) vr: 0.642980, flag: 0
n377 t: +, dr: log(-152.848936) vr: 0.642980, flag: 0
n378 t: n, dr: log(-inf) vr: 1.133535, flag: 0
n379 t: v, dr: log(-152.931869) vr: 0.000000, flag: 0
n380 t: *, dr: log(-152.986303) vr: 1.133535, flag: 1
n381 t: n, dr: log(-152.986303) vr: 0.882196, flag: 0
n382 t: v, dr: log(-153.040738) vr: 1.000000, flag: 0
n383 t: *, dr: log(-152.986303) vr: 0.882196, flag: 0
n384 t: +, dr: log(-152.986303) vr: 0.882196, flag: 0
n385 t: n, dr: log(-inf) vr: 1.552184, flag: 0
n386 t: v, dr: log(-152.658852) vr: 0.000000, flag: 0
n387 t: *, dr: log(-152.849796) vr: 1.552184, flag: 1
n388 t: n, dr: log(-152.849796) vr: 0.644254, flag: 0
n389 t: v, dr: log(-153.040738) vr: 1.000000, flag: 0
n390 t: *, dr: log(-152.849796) vr: 0.644254, flag: 0
n391 t: +, dr: log(-152.849796) vr: 0.644254, flag: 0
n392 t: n, dr: log(-inf) vr: 1.310673, flag: 0
n393 t: v, dr: log(-152.805750) vr: 0.000000, flag: 0
n394 t: *, dr: log(-152.923244) vr: 1.310673, flag: 1
n395 t: n, dr: log(-152.923244) vr: 0.762967, flag: 0
n396 t: v, dr: log(-153.040738) vr: 1.000000, flag: 0
n397 t: *, dr: log(-152.923244) vr: 0.762967, flag: 0
n398 t: +, dr: log(-152.923244) vr: 0.762967, flag: 0
n399 t: n, dr: log(-inf) vr: 1.530965, flag: 0
n400 t: v, dr: log(-152.670808) vr: 0.000000, flag: 0
n401 t: *, dr: log(-152.855773) vr: 1.530965, flag: 1
n402 t: n, dr: log(-152.855773) vr: 0.653183, flag: 0
n403 t: v, dr: log(-153.040738) vr: 1.000000, flag: 0
n404 t: *, dr: log(-152.855773) vr: 0.653183, flag: 0
n405 t: +, dr: log(-152.855773) vr: 0.653183, flag: 0
n406 t: n, dr: log(-inf) vr: 1.400767, flag: 0
n407 t: v, dr: log(-152.748007) vr: 0.000000, flag: 0
n408 t: *, dr: log(-152.894373) vr: 1.400767, flag: 1
n409 t: n, dr: log(-152.894373) vr: 0.713895, flag: 0
n410 t: v, dr: log(-153.040738) vr: 1.000000, flag: 0
n411 t: *, dr: log(-152.894373) vr: 0.713895, flag: 0
n412 t: +, dr: log(-152.894373) vr: 0.713895, flag: 0
n413 t: n, dr: log(-inf) vr: 0.784641, flag: 0
n414 t: v, dr: log(-153.251396) vr: 0.000000, flag: 0
n415 t: *, dr: log(-153.146067) vr: 0.784641, flag: 1
n416 t: n, dr: log(-153.146067) vr: 1.274468, flag: 0
n417 t: v, dr: log(-153.040738) vr: 1.000000, flag: 0
n418 t: *, dr: log(-153.146067) vr: 1.274468, flag: 0
n419 t: +, dr: log(-153.146067) vr: 1.274468, flag: 0
n420 t: n, dr: log(-inf) vr: 3.305175, flag: 0
