	... reading file ...
	... done reading file ... 
output 0.000000 for 21714 nodes
log: -271.634508
	... starting backpropagation ...
n315 t: n, dr: log(-inf) vr: 3.159207, flag: 0
n316 t: v, dr: log(-270.635351) vr: 0.000000, flag: 0
n317 t: *, dr: log(-271.134929) vr: 3.159207, flag: 1
n318 t: n, dr: log(-271.134929) vr: 0.316535, flag: 0
n319 t: v, dr: log(-271.634508) vr: 1.000000, flag: 0
n320 t: *, dr: log(-271.134929) vr: 0.316535, flag: 0
n321 t: +, dr: log(-271.134929) vr: 0.316535, flag: 0
n322 t: n, dr: log(-inf) vr: 2.570927, flag: 0
n323 t: v, dr: log(-270.814328) vr: 0.000000, flag: 0
n324 t: *, dr: log(-271.224418) vr: 2.570927, flag: 1
n325 t: n, dr: log(-271.224418) vr: 0.388965, flag: 0
n326 t: v, dr: log(-271.634508) vr: 1.000000, flag: 0
n327 t: *, dr: log(-271.224418) vr: 0.388965, flag: 0
n328 t: +, dr: log(-271.224418) vr: 0.388965, flag: 0
n329 t: n, dr: log(-inf) vr: 3.975695, flag: 0
n330 t: v, dr: log(-270.435681) vr: 0.000000, flag: 0
n331 t: *, dr: log(-271.035094) vr: 3.975695, flag: 1
n332 t: n, dr: log(-271.035094) vr: 0.251528, flag: 0
n333 t: v, dr: log(-271.634508) vr: 1.000000, flag: 0
n334 t: *, dr: log(-271.035094) vr: 0.251528, flag: 0
n335 t: +, dr: log(-271.035094) vr: 0.251528, flag: 0
n336 t: n, dr: log(-inf) vr: 3.790711, flag: 0
n337 t: v, dr: log(-270.477067) vr: 0.000000, flag: 0
n338 t: *, dr: log(-271.055787) vr: 3.790711, flag: 1
n339 t: n, dr: log(-271.055787) vr: 0.263803, flag: 0
n340 t: v, dr: log(-271.634508) vr: 1.000000, flag: 0
n341 t: *, dr: log(-271.055787) vr: 0.263803, flag: 0
n342 t: +, dr: log(-271.055787) vr: 0.263803, flag: 0
n343 t: n, dr: log(-inf) vr: 3.101471, flag: 0
n344 t: v, dr: log(-270.651373) vr: 0.000000, flag: 0
n345 t: *, dr: log(-271.142940) vr: 3.101471, flag: 1
n346 t: n, dr: log(-271.142940) vr: 0.322428, flag: 0
n347 t: v, dr: log(-271.634508) vr: 1.000000, flag: 0
n348 t: *, dr: log(-271.142940) vr: 0.322428, flag: 0
n349 t: +, dr: log(-271.142940) vr: 0.322428, flag: 0
n350 t: n, dr: log(-inf) vr: 2.592129, flag: 0
n351 t: v, dr: log(-270.807194) vr: 0.000000, flag: 0
n352 t: *, dr: log(-271.220851) vr: 2.592129, flag: 1
n353 t: n, dr: log(-271.220851) vr: 0.385783, flag: 0
n354 t: v, dr: log(-271.634508) vr: 1.000000, flag: 0
n355 t: *, dr: log(-271.220851) vr: 0.385783, flag: 0
n356 t: +, dr: log(-271.220851) vr: 0.385783, flag: 0
n357 t: n, dr: log(-inf) vr: 2.983584, flag: 0
n358 t: v, dr: log(-270.685031) vr: 0.000000, flag: 0
n359 t: *, dr: log(-271.159769) vr: 2.983584, flag: 1
n360 t: n, dr: log(-271.159769) vr: 0.335167, flag: 0
n361 t: v, dr: log(-271.634508) vr: 1.000000, flag: 0
n362 t: *, dr: log(-271.159769) vr: 0.335167, flag: 0
n363 t: +, dr: log(-271.159769) vr: 0.335167, flag: 0
n364 t: n, dr: log(-inf) vr: 3.869966, flag: 0
n365 t: v, dr: log(-270.459093) vr: 0.000000, flag: 0
n366 t: *, dr: log(-271.046800) vr: 3.869966, flag: 1
n367 t: n, dr: log(-271.046800) vr: 0.258400, flag: 0
n368 t: v, dr: log(-271.634508) vr: 1.000000, flag: 0
n369 t: *, dr: log(-271.046800) vr: 0.258400, flag: 0
n370 t: +, dr: log(-271.046800) vr: 0.258400, flag: 0
n371 t: n, dr: log(-inf) vr: 3.422005, flag: 0
n372 t: v, dr: log(-270.565946) vr: 0.000000, flag: 0
n373 t: *, dr: log(-271.100227) vr: 3.422005, flag: 1
n374 t: n, dr: log(-271.100227) vr: 0.292226, flag: 0
n375 t: v, dr: log(-271.634508) vr: 1.000000, flag: 0
n376 t: *, dr: log(-271.100227) vr: 0.292226, flag: 0
n377 t: +, dr: log(-271.100227) vr: 0.292226, flag: 0
n378 t: n, dr: log(-inf) vr: 3.697599, flag: 0
n379 t: v, dr: log(-270.498668) vr: 0.000000, flag: 0
n380 t: *, dr: log(-271.066588) vr: 3.697599, flag: 1
n381 t: n, dr: log(-271.066588) vr: 0.270446, flag: 0
n382 t: v, dr: log(-271.634508) vr: 1.000000, flag: 0
n383 t: *, dr: log(-271.066588) vr: 0.270446, flag: 0
n384 t: +, dr: log(-271.066588) vr: 0.270446, flag: 0
n385 t: n, dr: log(-inf) vr: 4.066214, flag: 0
n386 t: v, dr: log(-270.416127) vr: 0.000000, flag: 0
n387 t: *, dr: log(-271.025317) vr: 4.066214, flag: 1
n388 t: n, dr: log(-271.025317) vr: 0.245929, flag: 0
n389 t: v, dr: log(-271.634508) vr: 1.000000, flag: 0
n390 t: *, dr: log(-271.025317) vr: 0.245929, flag: 0
n391 t: +, dr: log(-271.025317) vr: 0.245929, flag: 0
n392 t: n, dr: log(-inf) vr: 3.057219, flag: 0
n393 t: v, dr: log(-270.663855) vr: 0.000000, flag: 0
n394 t: *, dr: log(-271.149182) vr: 3.057219, flag: 1
n395 t: n, dr: log(-271.149182) vr: 0.327095, flag: 0
n396 t: v, dr: log(-271.634508) vr: 1.000000, flag: 0
n397 t: *, dr: log(-271.149182) vr: 0.327095, flag: 0
n398 t: +, dr: log(-271.149182) vr: 0.327095, flag: 0
n399 t: n, dr: log(-inf) vr: 3.004151, flag: 0
n400 t: v, dr: log(-270.679064) vr: 0.000000, flag: 0
n401 t: *, dr: log(-271.156786) vr: 3.004151, flag: 1
n402 t: n, dr: log(-271.156786) vr: 0.332873, flag: 0
n403 t: v, dr: log(-271.634508) vr: 1.000000, flag: 0
n404 t: *, dr: log(-271.156786) vr: 0.332873, flag: 0
n405 t: +, dr: log(-271.156786) vr: 0.332873, flag: 0
n406 t: n, dr: log(-inf) vr: 3.734092, flag: 0
n407 t: v, dr: log(-270.490138) vr: 0.000000, flag: 0
n408 t: *, dr: log(-271.062323) vr: 3.734092, flag: 1
n409 t: n, dr: log(-271.062323) vr: 0.267803, flag: 0
n410 t: v, dr: log(-271.634508) vr: 1.000000, flag: 0
n411 t: *, dr: log(-271.062323) vr: 0.267803, flag: 0
n412 t: +, dr: log(-271.062323) vr: 0.267803, flag: 0
n413 t: n, dr: log(-inf) vr: 2.713006, flag: 0
n414 t: v, dr: log(-270.767606) vr: 0.000000, flag: 0
n415 t: *, dr: log(-271.201057) vr: 2.713006, flag: 1
n416 t: n, dr: log(-271.201057) vr: 0.368595, flag: 0
n417 t: v, dr: log(-271.634508) vr: 1.000000, flag: 0
n418 t: *, dr: log(-271.201057) vr: 0.368595, flag: 0
n419 t: +, dr: log(-271.201057) vr: 0.368595, flag: 0
n420 t: n, dr: log(-inf) vr: 2.831164, flag: 0
